league,n,small_sample,market_log_loss,dixon_coles_log_loss,gbm_log_loss,ensemble_log_loss,ensemble_cal_log_loss
England-Champ,552,False,1.0416,1.0956,1.0469,1.0449,1.0449
England-L1,552,False,1.0188,1.0607,1.0194,1.0192,1.0192
England-L2,552,False,1.0218,1.0645,1.0196,1.0203,1.0202
England-NL,540,False,0.9878,1.0552,0.992,0.9855,0.9854
Spain-LL2,462,False,1.0293,1.0964,1.0294,1.028,1.028
England-PL,380,False,1.0185,1.0355,1.034,1.0246,1.0247
Italy-SA,380,False,0.9821,1.0271,0.9788,0.978,0.978
Italy-SB,380,False,1.0143,1.0626,1.0215,1.0157,1.0157
Spain-LL,380,False,0.9637,0.99,0.9708,0.9638,0.9638
France-L1,306,False,0.9729,1.0152,0.9732,0.9731,0.9731
Germany-BL,306,False,0.9514,0.9804,0.9479,0.949,0.949
Germany-BL2,306,False,1.0317,1.0893,1.0294,1.0316,1.0316
Netherlands-ED,306,False,0.9774,0.9892,0.9815,0.9726,0.9726
Portugal-PL,306,False,0.9137,0.9328,0.9163,0.9112,0.9112
Turkey-SL,306,False,0.9661,0.9958,0.9604,0.959,0.959
France-L2,305,False,1.0576,1.107,1.0645,1.0607,1.0607
Belgium-PL,303,False,1.0187,1.2453,1.0174,1.0233,1.0233
Greece-SL,236,False,0.9518,0.9706,0.9616,0.9606,0.9607
Scotland-PR,228,False,0.9722,0.9901,0.9756,0.9653,0.9653
Scotland-Champ,180,False,1.0697,1.1807,1.0832,1.0698,1.0699
Scotland-L1,180,False,1.0231,1.094,1.0295,1.0271,1.0271
Scotland-L2,180,False,1.0579,1.1279,1.062,1.0593,1.0593
